教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,慣用句・ことわざ・四字熟語,標準,次のことわざの意味を、簡単に答えなさい。「石橋をたたいて渡る」,用心深く物事を行うこと,「石橋をたたいて渡る」は、丈夫な石橋でも安全を確かめてから渡るように、非常に用心深く行動することを表す。,10,
国語,慣用句・ことわざ・四字熟語,応用,次の慣用句の（　）に当てはまる体の一部を表す漢字一字を答えなさい。「（　）が痛い」（自分の弱点を指摘されてつらい思いをすることを表す）,耳,「耳が痛い」は、他人からの指摘が自分の欠点に当てはまっていて聞くのがつらいことを表す慣用句である。,15,
国語,文脈把握・要旨,基本,次の文章を読んで、後の問いに答えなさい。「たけしは幼いころから虫が大好きだった。休みの日には必ず近くの公園に行き、夢中になってダンゴムシやアリを観察した。中学生になった今も、その興味は変わらない。将来は生物学者になりたいと考えている。」上の文章で、たけしが将来なりたいと考えている職業を、文章中の言葉を使って答えなさい。,生物学者,文章の最後に「将来は生物学者になりたいと考えている」と書かれている。,5,
国語,文脈把握・要旨,標準,次の文章を読んで、後の問いに答えなさい。「たけしは幼いころから虫が大好きだった。休みの日には必ず近くの公園に行き、夢中になってダンゴムシやアリを観察した。中学生になった今も、その興味は変わらない。将来は生物学者になりたいと考えている。」上の文章で、たけしが幼いころから好きだったものは何か、文章中の言葉を使って答えなさい。,虫,文章の最初に「たけしは幼いころから虫が大好きだった」と書かれている。,10,
国語,文脈把握・要旨,標準,次の文章を読んで、後の問いに答えなさい。「近年、多くの学校で読書の時間が増えている。ある調査によると、毎日十分でも本を読む習慣がある生徒は、読解力のテストの点数が高い傾向にあるという。ただし、ただ読むだけでなく、内容について誰かと話し合うことがより効果的だと指摘されている。」上の文章によると、読解力のテストの点数が高い傾向にある生徒には、どのような習慣があるか。文章中の言葉を使って簡潔に答えなさい。,毎日十分でも本を読む習慣,調査の結果として「毎日十分でも本を読む習慣がある生徒は、読解力のテストの点数が高い傾向にある」と述べられている。,10,
国語,文脈把握・要旨,標準,次の文章を読んで、後の問いに答えなさい。「近年、多くの学校で読書の時間が増えている。ある調査によると、毎日十分でも本を読む習慣がある生徒は、読解力のテストの点数が高い傾向にあるという。ただし、ただ読むだけでなく、内容について誰かと話し合うことがより効果的だと指摘されている。」上の文章で、読書をより効果的にするために大切だと述べられていることは何か。文章中の言葉を使って答えなさい。,内容について誰かと話し合うこと,文章の最後に「内容について誰かと話し合うことがより効果的だと指摘されている」と述べられている。,10,
数学,正負の数,基本,次の式を計算しなさい。(-3) + 8 - 5,0,-3+8=5、5-5=0となる。,5,
数学,正負の数,基本,次の式を計算しなさい。(-4) × 6 ÷ (-2),12,(-4)×6=-24、-24÷(-2)=12となる。,5,
数学,正負の数,標準,次の式を計算しなさい。-2² + 3 × (-4),-16,-2²=-4であり、3×(-4)=-12なので、-4+(-12)=-16となる。,10,
数学,正負の数,応用,次の式を計算しなさい。(-2)³ - (-3)² ÷ 3,-11,(-2)³=-8、(-3)²÷3=9÷3=3なので、-8-3=-11となる。,15,
数学,文字と式,基本,次の式を計算しなさい。3x - 5x + 2,-2x+2,xの項をまとめると3x-5x=-2xとなるので、-2x+2となる。,5,
数学,文字と式,標準,x = -2 のとき、3x² - 4x + 1 の値を求めなさい。,21,x²=4、-4x=8なので、3×4+8+1=21となる。,10,
数学,文字と式,応用,次の式を計算しなさい。(2x-1)/3 - (x-2)/2,(x+4)/6,通分して分子を計算すると(4x-2-3x+6)/6=(x+4)/6となる。,15,
数学,一次方程式,基本,方程式 2x + 3 = 11 を解きなさい。,x=4,両辺から3を引いて2x=8、両辺を2で割るとx=4となる。,5,
数学,一次方程式,基本,方程式 x/3 - 2 = 1 を解きなさい。,x=9,両辺に2を加えてx/3=3、両辺を3倍するとx=9となる。,5,
数学,一次方程式,標準,方程式 3(x-2) = 2x + 1 を解きなさい。,x=7,左辺を展開して3x-6=2x+1、整理するとx=7となる。,10,
数学,一次方程式,標準,ある数に5を加えて3倍すると、その数を4倍して2を加えた数と等しくなる。この数を求めなさい。,13,数をxとすると3(x+5)=4x+2、これを解くとx=13となる。,10,
数学,比例と反比例,基本,yはxに比例し、x=3のときy=12である。yをxの式で表しなさい。,y=4x,"y=kxにx=3,y=12を代入するとk=4なのでy=4xとなる。",5,
数学,比例と反比例,標準,yはxに反比例し、x=4のときy=6である。x=8のときのyの値を求めなさい。,3,xy=4×6=24なので、x=8のときy=24÷8=3となる。,10,
数学,比例と反比例,応用,yはxに反比例し、x=-2のときy=9である。x=6のときのyの値を求めなさい。,-3,xy=(-2)×9=-18なので、x=6のときy=-18÷6=-3となる。,15,
数学,平面図形,基本,三角形の3つの内角のうち、2つの角の大きさがそれぞれ50°、70°であるとき、残りの角の大きさを求めなさい。,60°,三角形の内角の和は180°なので、180-50-70=60となる。,5,
数学,平面図形,標準,正五角形の1つの内角の大きさを求めなさい。,108°,正五角形の内角の和は(5-2)×180=540°なので、540÷5=108となる。,10,
数学,平面図形,標準,三角形ABCにおいて、∠A=40°であり、頂点Bにおける外角の大きさが110°であるとき、∠Cの大きさを求めなさい。,70°,外角と内角の和は180°なので∠B=180-110=70°、内角の和より∠C=180-40-70=70となる。,10,
数学,空間図形,基本,底面の半径が3cm、高さが5cmの円柱の体積を求めなさい。円周率はπとする。,45π cm³,円柱の体積は底面積×高さなので、π×3²×5=45πとなる。,5,
数学,空間図形,標準,底面の半径が4cm、高さが9cmの円錐の体積を求めなさい。円周率はπとする。,48π cm³,円錐の体積は(1/3)×底面積×高さなので、(1/3)×π×4²×9=48πとなる。,10,
数学,空間図形,応用,半径6cmの球の表面積を求めなさい。円周率はπとする。,144π cm²,球の表面積は4πr²なので、4×π×6²=144πとなる。,15,
英語,be動詞（am/is/are）の文,基本,次の日本文を英語にしなさい。「彼女は先生です。」,She is a teacher.,主語が3人称単数(she)なのでbe動詞はisを使う。,5,
英語,be動詞（am/is/are）の文,基本,（　）に適切なbe動詞を1語で入れなさい。 We (　) good friends.,are,主語Weは複数なのでbe動詞はareを使う。,5,
英語,be動詞（am/is/are）の文,標準,次の英文を否定文に書き換えなさい。 This is my bag.,This is not my bag.,be動詞の否定文はbe動詞の後にnotを置く。（This isn't my bag.も正解）,10,
英語,一般動詞の文（3単現のs）,基本,次の日本文を英語にしなさい。「私は毎日英語を勉強します。」,I study English every day.,主語がIの場合、一般動詞にsをつけない。,5,
英語,一般動詞の文（3単現のs）,標準,（　）内の動詞を正しい形にしなさい。 My brother (play) soccer every Sunday.,plays,主語が3人称単数(my brother)なので動詞の語尾にsをつける。,10,
英語,一般動詞の文（3単現のs）,応用,次の日本文をDoesを使って英語にしなさい。「彼女は毎朝早く起きますか。」,Does she get up early every morning?,3人称単数の疑問文は主語の前にDoesを置き、動詞は原形にする。,15,
英語,疑問文・否定文の作り方,基本,次の文を疑問文に書き換えなさい。 You like dogs.,Do you like dogs?,一般動詞の疑問文は主語の前にDoを置く。,5,
英語,疑問文・否定文の作り方,標準,次の文を否定文に書き換えなさい。 He plays tennis.,He does not play tennis.,3人称単数の否定文はdoes notを動詞の前に置き、動詞を原形にする。（He doesn't play tennis.も正解）,10,
英語,疑問文・否定文の作り方,応用,次の日本文を英語にしなさい。「あなたのお父さんは医者ではありません。」,Your father is not a doctor.,主語が3人称単数なのでbe動詞isを使い、その後にnotを置いて否定文にする。（isn'tも正解）,15,
英語,複数形・代名詞,基本,次の単語を複数形にしなさい。 book,books,名詞の複数形は基本的に語尾にsをつける。,5,
英語,複数形・代名詞,標準,次の単語を複数形にしなさい。 city,cities,子音字+yで終わる語は、yをiに変えてesをつけて複数形にする。,10,
英語,複数形・代名詞,標準,次の文の下線部Tom and Iを代名詞1語に書き換えなさい。 Tom and I are good friends.,We,「トムと私」は自分を含む複数なので代名詞Weに置き換える。,10,
英語,現在進行形,基本,次の日本文を英語にしなさい。「私は今、テレビを見ています。」,I am watching TV now.,現在進行形はbe動詞+動詞のing形で表す。,5,
英語,現在進行形,標準,（　）内の動詞を正しい形にしなさい。 They are (swim) in the pool now.,swimming,swimは語尾の子音字を重ねてingをつける動詞である。,10,
英語,現在進行形,応用,次の文を疑問文に書き換えなさい。 She is cooking dinner.,Is she cooking dinner?,現在進行形の疑問文はbe動詞を主語の前に出す。,15,
英語,命令文,基本,次の日本文を英語にしなさい。「ドアを閉めなさい。」,Close the door.,命令文は主語を省略し、動詞の原形で文を始める。,5,
英語,命令文,標準,次の日本文を英語にしなさい。「ここで走ってはいけません。」,Don't run here.,否定の命令文はDon'tを動詞の原形の前に置く。,10,
英語,命令文,応用,次の日本文をPleaseを使って英語にしなさい。「どうぞ、座ってください。」,Please sit down.,"丁寧な命令文はPleaseを文の最初か最後に置く。（Sit down, please.も正解）",15,
英語,基本単語・熟語,基本,次の日本語を英語1語で書きなさい。「図書館」,library,「図書館」は英語でlibraryという。,5,
英語,基本単語・熟語,標準,次の英語の熟語の意味を日本語で書きなさい。 get up,起きる,get upは「起きる、起床する」という意味の熟語。,10,
