教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,読解,標準,次の文章を読んで、後の問いに答えなさい。「美咲は図書委員として、毎週水曜日の放課後に図書室の本を整理していた。ある日、返却された本の間から、古びた一枚のしおりを見つけた。そこには小さな花の絵が丁寧に描かれていた。誰が描いたのだろうと考えながら、美咲はそのしおりを図書室のカウンターに大切に置いておいた。数日後、一年生の女子生徒が恥ずかしそうにカウンターへやってきて、「あの、これ私のなんです」と小さな声で言った。美咲は、しおりを見つけたときの嬉しさと、持ち主が名乗ってくれたことへの安心感で、思わず笑顔になった。」しおりを見つけたときの美咲の気持ちを表す言葉を、本文中から抜き出しなさい。,嬉しさ,本文に「しおりを見つけたときの嬉しさ」とある。,2,
国語,読解,応用,次の文章を読んで、後の問いに答えなさい。「美咲は図書委員として、毎週水曜日の放課後に図書室の本を整理していた。ある日、返却された本の間から、古びた一枚のしおりを見つけた。そこには小さな花の絵が丁寧に描かれていた。誰が描いたのだろうと考えながら、美咲はそのしおりを図書室のカウンターに大切に置いておいた。数日後、一年生の女子生徒が恥ずかしそうにカウンターへやってきて、「あの、これ私のなんです」と小さな声で言った。美咲は、しおりを見つけたときの嬉しさと、持ち主が名乗ってくれたことへの安心感で、思わず笑顔になった。」美咲が「思わず笑顔になった」理由の一つとして、持ち主が名乗ってくれたことへの感情を本文中から抜き出しなさい。,安心感,本文に「持ち主が名乗ってくれたことへの安心感で、思わず笑顔になった」とある。,3,
国語,敬語,応用,「着る」の尊敬語を答えなさい。,お召しになる,「着る」の尊敬語は「お召しになる」で、相手の動作を高めて表現する言い方である。,3,
国語,敬語,基本,「もらう」の謙譲語を答えなさい。,いただく,「もらう」の謙譲語は「いただく」で、自分の動作を控えめに表現する言い方である。,1,
国語,敬語,標準,「知っている」の尊敬語を答えなさい。,ご存じだ,「知っている」の尊敬語は「ご存じだ」で、相手の状態を高めて表現する言い方である。,2,
国語,敬語,応用,「行く」の謙譲語を答えなさい。,参る,「行く」の謙譲語には「参る」があり、自分の動作を控えめに表す言い方である。,3,
数学,展開と因数分解,基本,次の式を展開せよ。 (x+7)(x-2),x²+5x-14,x²+{7+(-2)}x+7×(-2)=x²+5x-14 と計算する。,1,
数学,展開と因数分解,標準,次の式を因数分解せよ。 x²+x-12,(x+4)(x-3),積が-12、和が1となる2数4と-3を見つけて (x+4)(x-3) と因数分解する。,2,
数学,展開と因数分解,応用,x=54のとき、x²-8x+16の値を求めよ。,2500,x²-8x+16=(x-4)²と変形し、x-4=50を代入すると50²=2500となる。,3,
数学,平方根,基本,√50をできるだけ簡単な形にせよ。,5√2,50=25×2なので、√50=√25×√2=5√2となる。,1,
数学,平方根,標準,√80-√20を計算せよ。,2√5,√80=4√5、√20=2√5と変形し、4√5-2√5=2√5と計算する。,2,
数学,平方根,応用,(√6+√2)²を計算せよ。,8+4√3,(√6+√2)²=6+2√12+2=8+2×2√3=8+4√3と展開する。,3,
数学,二次方程式,基本,二次方程式 x²-9x+18=0 を解け。,"x=3,6",積が18、和が-9となる2数-3と-6を用いて (x-3)(x-6)=0 と因数分解する。,1,
数学,二次方程式,標準,二次方程式 3x²+x-2=0 を解け。,"x=2/3,-1","左辺を (3x-2)(x+1)=0 と因数分解すると、x=2/3、-1 が得られる。",2,
数学,二次方程式,応用,連続する2つの正の整数があり、それぞれを2乗した数の和が113である。この2つの整数を求めよ。,"7,8",小さい方をnとすると n²+(n+1)²=113 より n²+n-56=0 となり、(n-7)(n+8)=0 からn=7、よって整数は7と8。,3,
数学,二次関数,基本,関数 y=5x² について、x=-4のときのyの値を求めよ。,80,y=5x²にx=-4を代入すると、y=5×16=80となる。,1,
数学,二次関数,標準,関数y=ax²において、xの値が-1から2まで増加するときの変化の割合が3であった。aの値を求めよ。,3,変化の割合はa(x1+x2)で求められるので、a×{(-1)+2}=3よりa=3となる。,2,
数学,相似な図形,標準,相似比が5:8である2つの図形の面積比を求めよ。,25:64,面積比は相似比の2乗に等しいので、5²:8²=25:64となる。,2,
数学,相似な図形,応用,相似な2つの円柱があり、相似比が4:9である。この2つの円柱の体積比を求めよ。,64:729,体積比は相似比の3乗に等しいので、4³:9³=64:729となる。,3,
数学,相似な図形,応用,△ABCの辺AB上に点D、辺AC上に点Eをとり、DE∥BCとする。AD=6cm、DB=9cm、DE=8cmのとき、BCの長さを求めよ。,20cm,△ADE∽△ABCで、AD:AB=6:15=2:5なので、BC=DE×5/2=8×5/2=20cmとなる。,3,
数学,円の性質,基本,円Oにおいて、弧ABに対する円周角が50°であるとき、弧ABに対する中心角の大きさを求めよ。,100°,円周角は同じ弧に対する中心角の半分なので、中心角=50°×2=100°となる。,1,
数学,円の性質,標準,円に内接する四角形ABCDにおいて、∠A=115°であるとき、∠Cの大きさを求めよ。,65°,円に内接する四角形の対角の和は180°なので、∠C=180°-115°=65°となる。,2,
数学,三平方の定理,標準,直角三角形の直角をはさむ2辺の長さが9cmと12cmであるとき、斜辺の長さを求めよ。,15cm,三平方の定理より、斜辺=√(9²+12²)=√225=15cmとなる。,2,
数学,三平方の定理,応用,底辺10cm、等しい辺の長さが13cmの二等辺三角形の面積を求めよ。,60cm²,頂点から底辺に垂線を下ろすと、高さ=√(13²-5²)=12cmとなり、面積=10×12÷2=60cm²となる。,3,
数学,標本調査,基本,200個の製品の中から20個を抽出して調べたところ、不良品が2個含まれていた。この200個の製品の中には、およそ何個の不良品が含まれていると推定できるか。,20個,標本における不良品の割合2/20を全体200個に当てはめると、200×2/20=20個と推定できる。,1,
数学,標本調査,標準,白玉と黒玉が合わせて600個入っている袋から30個の玉を無作為に取り出したところ、白玉が12個含まれていた。この袋の中には、およそ何個の白玉が入っていると推定できるか。,240個,標本における白玉の割合12/30を全体600個に当てはめると、600×12/30=240個と推定できる。,2,
英語,現在完了,基本,次の日本語を英語にしなさい。私は北海道を二度訪れたことがあります。,I have visited Hokkaido twice.,経験を表す現在完了「have visited」を使う。twice(二度)は経験の回数を示す語。,1,
英語,現在完了,標準,次の日本語を英語にしなさい。彼女は10年間ずっとこのギターを持っています。,She has had this guitar for ten years.,継続を表す現在完了「has had」に for ten years を続けて「10年間ずっと」を表す。,2,
英語,現在完了,標準,次の日本語を英語にしなさい。彼らはちょうど夕食を食べ終えたところです。,They have just finished eating dinner.,完了を表す現在完了「have just finished」を使う。finishの後は動名詞になる。,2,
英語,受け身,基本,次の日本語を英語にしなさい。このケーキは母によって作られました。,This cake was made by my mother.,受け身の過去形「was made by ~」で「~によって作られた」を表す。,1,
英語,受け身,標準,次の日本語を英語にしなさい。この橋は多くの観光客に使われています。,This bridge is used by many tourists.,受け身の現在形「is used by ~」で「~に使われている」を表す。,2,
英語,受け身,応用,次の日本語を英語にしなさい。その手紙はまだ開けられていません。,That letter has not been opened yet.,現在完了の受け身「has not been opened」に yet を加えて「まだ~されていない」を表す応用形。,3,
英語,分詞,基本,次の日本語を英語にしなさい。これは英語で書かれた本です。,This is a book written in English.,過去分詞writtenがbookを後ろから修飾し、「英語で書かれた本」を表す。,1,
英語,分詞,標準,次の日本語を英語にしなさい。木の下で走っている少女は私のいとこです。,The girl running under the tree is my cousin.,現在分詞runningがgirlを後ろから修飾し、「木の下で走っている少女」を表す。,2,
英語,分詞,応用,次の日本語を英語にしなさい。あの店で売られているパンはとても美味しいです。,The bread sold at that store is very delicious.,過去分詞soldがbreadを後ろから修飾し、「あの店で売られているパン」という長い主語を作る応用形。,3,
英語,関係代名詞,基本,次の日本語を英語にしなさい。私には音楽が得意な友達がいます。,I have a friend who is good at music.,関係代名詞whoがfriendを説明し、「音楽が得意な友達」を表す。,1,
英語,関係代名詞,標準,次の日本語を英語にしなさい。これは彼が去年撮った写真です。,This is the picture which he took last year.,目的格の関係代名詞whichがpictureを説明する文。whichは省略も可能。,2,
英語,関係代名詞,応用,次の日本語を英語にしなさい。私たちが公園で見つけた鳥はとても小さかったです。,The bird that we found in the park was very small.,目的格の関係代名詞thatがbirdを説明し、長い主語を作る応用的な文構造。,3,
英語,不定詞の応用,基本,次の日本語を英語にしなさい。彼にとって早く寝ることは大切です。,It is important for him to go to bed early.,「It is ~ for 人 to …」の形で「(人)にとって…することは~だ」を表す。,1,
英語,不定詞の応用,標準,次の日本語を英語にしなさい。彼女はどのケーキを選ぶべきか分かりません。,She doesn't know which cake to choose.,「疑問詞+to不定詞」のwhich cake to chooseで「どのケーキを選ぶべきか」を表す。,2,
英語,不定詞の応用,応用,次の日本語を英語にしなさい。彼にとってどこで昼食を食べるか決めることは楽しいです。,It is fun for him to decide where to eat lunch.,「It is ~ for 人 to …」に「疑問詞+to不定詞」のwhere to eatが組み合わさった応用形。,3,
英語,比較,基本,次の日本語を英語にしなさい。この橋はあの橋より長いです。,This bridge is longer than that bridge.,比較級longer thanで二つのものを比べる基本の形。,1,
英語,比較,標準,次の日本語を英語にしなさい。これはこの町で一番古い建物です。,This is the oldest building in this town.,最上級the oldestにin this townを続けて「この町で一番古い」を表す。,2,
英語,比較,応用,次の日本語を英語にしなさい。彼はこのチームの他のどの選手よりも速く泳ぎます。,He swims faster than any other player on this team.,「比較級+than any other ~」で「他のどの~よりも」という最上級的な意味を表す応用表現。,3,
英語,間接疑問文,標準,次の日本語を英語にしなさい。あなたは彼がどこでその写真を撮ったか知っていますか。,Do you know where he took that picture?,間接疑問文では疑問詞の後は平叙文と同じ語順(he took)になる。,2,
英語,間接疑問文,応用,次の日本語を英語にしなさい。彼女がなぜ遅刻したのか教えてください。,Please tell me why she was late.,間接疑問文why she was lateがtell meの目的語となる形。疑問詞の後は主語+動詞の順になる。,3,
理科,化学変化とイオン,標準,原子は陽子と電子をもつが、原子全体としては電気を帯びていない。この理由を、陽子と電子の数の関係から答えよ。,陽子の数と電子の数が等しいから,原子では+の電気をもつ陽子の数と-の電気をもつ電子の数が等しく、電気的に打ち消し合うため中性になる。,2,
理科,化学変化とイオン,標準,ナトリウム原子Naが電子を1個放出してナトリウムイオンになる変化を、化学式を用いた式で表せ。,Na→Na+ + e-,ナトリウム原子は電子を1個失うことで+1の電気を帯びたナトリウムイオンになる。,2,
理科,化学変化とイオン,応用,マグネシウム板と銅板をうすい塩酸に入れて電池をつくった。導線を流れる電子は、マグネシウム板と銅板のどちらからどちらへ移動するか。,マグネシウム板から銅板,マグネシウムは銅よりイオンになりやすいため電子を放出し、その電子が導線を通って銅板側へ移動する。,3,
理科,酸・アルカリと中和,基本,アルカリ性の水溶液にフェノールフタレイン溶液を加えると何色に変化するか。,赤色,フェノールフタレイン溶液はアルカリ性で赤色に変化する指示薬である。,1,
理科,酸・アルカリと中和,標準,うすい塩酸に水酸化カルシウム水溶液を加えて中和させたとき、水以外に生じる塩の名称を答えよ。,塩化カルシウム,塩酸(HCl)と水酸化カルシウム(Ca(OH)2)が中和すると、塩化カルシウムと水が生じる。,2,
理科,酸・アルカリと中和,応用,うすい塩酸15mLと、あるうすい水酸化ナトリウム水溶液10mLが完全に中和した。同じうすい塩酸30mLを完全に中和するには、この水酸化ナトリウム水溶液は何mL必要か。,20mL,塩酸と水酸化ナトリウム水溶液の体積は比例するため、15:10=30:xより x=20mLとなる。,3,
理科,遺伝の規則性,基本,生物の形質を決めるもとになる、細胞の中に存在する物質を何というか。,DNA,遺伝子の本体はDNA(デオキシリボ核酸)という物質であり、形質の情報が親から子へ伝えられる。,1,
理科,遺伝の規則性,標準,減数分裂によってつくられる生殖細胞の染色体の数は、もとの体細胞と比べてどうなるか。,半分になる,減数分裂では染色体数が半分の生殖細胞がつくられ、受精によって親と同じ数に戻る。,2,
理科,遺伝の規則性,応用,遺伝子の組み合わせが不明な黄色の種子の個体に、潜性である緑色の種子の個体(yy)をかけ合わせたところ、子には黄色と緑色が1:1の割合で現れた。もとの黄色個体の遺伝子の組み合わせを答えよ。,Yy,黄色個体がYYであれば子はすべて黄色になるが、Yyであれば黄色と緑色が1:1で現れるため、もとの個体はYyと判断できる。,3,
理科,力と運動・力学的エネルギー,基本,物体に力を加えると、その物体からも大きさが等しく向きが反対の力を受ける。この関係を表す法則を何というか。,作用・反作用の法則,力を加えた物体からは必ず同じ大きさで反対方向の力を受け返すことを作用・反作用の法則という。,1,
理科,力と運動・力学的エネルギー,標準,面積2m²の板に垂直に40Nの力がはたらくとき、板にかかる圧力は何Paか。,20Pa,圧力[Pa]=力[N]÷面積[m²]より、40÷2=20Paとなる。,2,
理科,力と運動・力学的エネルギー,応用,質量3kgの物体を高さ2mの位置まで持ち上げた。100gの物体にはたらく重力の大きさを1Nとするとき、この物体がもつ位置エネルギーは何Jか。,60J,3kgの物体にはたらく重力は30Nであり、位置エネルギー[J]=力[N]×高さ[m]より30×2=60Jとなる。,3,
理科,仕事とエネルギー,基本,力の大きさ[N]と、力の向きに物体が動いた距離[m]の積で表される量を何というか。,仕事,物体に力を加えてその力の向きに動かしたとき、力の大きさと移動距離の積を仕事という。,1,
理科,仕事とエネルギー,標準,35Nの力で物体を4m持ち上げた。このときの仕事は何Jか。,140J,仕事[J]=力[N]×距離[m]より、35×4=140Jとなる。,2,
理科,仕事とエネルギー,応用,質量6kgの物体を、動滑車を1個使って4m持ち上げた。100gの物体にはたらく重力の大きさを1Nとし、滑車やロープの重さ、摩擦は考えないものとする。手がロープを引く力は何Nか。,30N,動滑車を使うと引く力は物体の重力の半分になるため、60Nの半分の30Nでよい。,3,
理科,天体,基本,地球が地軸を中心にして1日1回転する運動を何というか。,自転,地球は地軸を中心に24時間で1回転しており、この運動を自転という。,1,
理科,天体,標準,日没後、西の空に見える金星は「何の明星」と呼ばれるか。,宵の明星,日没後の西の空に明るく見える金星は宵の明星と呼ばれる。,2,
理科,天体,応用,金星を望遠鏡で観察すると、月のように満ち欠けして見える。その理由を、金星の公転軌道の位置に着目して答えよ。,金星は地球より内側の軌道を公転しているため,金星は地球より太陽に近い内側を公転する内惑星であるため、地球との位置関係により太陽の光が当たって見える部分の割合が変化し、満ち欠けして見える。,3,
理科,科学技術と環境,基本,海洋などに流れ出したプラスチックごみが紫外線や波の力で細かく砕けてできる、5mm以下の微細なプラスチックの粒を何というか。,マイクロプラスチック,微細なプラスチックごみは生物の体内に取り込まれやすく、海洋汚染の原因として問題になっている。,1,
理科,科学技術と環境,標準,もともとその地域に生息していなかったが、人間の活動によって他の地域から持ち込まれ、その地域に定着した生物を何というか。,外来生物,外来生物は在来の生物を捕食したり生活場所を奪ったりして、その地域の生態系のバランスを崩すことがある。,2,
社会,歴史（近代日本の歩み・二度の世界大戦・戦後の日本の復興）,基本,明治政府が1871年に欧米へ派遣し、不平等条約改正の交渉や欧米の制度・文化の視察を行った使節団を何というか。,岩倉使節団,岩倉具視を全権大使として派遣され、条約改正には失敗したが欧米の近代的な制度を学ぶ機会となった。,1,
社会,歴史（近代日本の歩み・二度の世界大戦・戦後の日本の復興）,標準,1904年、満州や朝鮮半島における権益をめぐって日本とロシアの間で始まった戦争を何というか。,日露戦争,この戦争に勝利した日本は国際的な地位を高めたが、賠償金が得られず国内では不満も高まった。,2,
社会,歴史（近代日本の歩み・二度の世界大戦・戦後の日本の復興）,応用,1956年に調印され、日本とソ連の国交回復を実現し、同年の日本の国際連合加盟につながった宣言を何というか。,日ソ共同宣言,この宣言によりソ連との国交が正常化し、それまで拒否権を行使していたソ連の反対がなくなり日本の国連加盟が実現した。,3,
社会,公民：人権と日本国憲法,基本,日本国憲法には直接規定されていないが、政治や行政に関する情報の公開を求める権利として主張されるようになった権利を何というか。,知る権利,表現の自由を根拠として主張されるようになった権利で、情報公開制度の整備が進められている。,1,
社会,公民：人権と日本国憲法,標準,環境権や知る権利など、社会の変化にともなって主張されるようになった、憲法制定時には想定されていなかった人権を総称して何というか。,新しい人権,産業や情報化の進展にともない、憲法第13条の幸福追求権などを根拠に主張されるようになった。,2,
社会,公民：人権と日本国憲法,応用,国会が憲法改正を発議した後、その改正案を承認するかどうかを最終的に決める、国民が直接参加する手続きを何というか。,国民投票,発議後60日から180日以内に実施され、有効投票の過半数の賛成で憲法は改正される。,3,
社会,公民：国会・内閣・裁判所のしくみ,基本,国会が衆議院と参議院という二つの議院からなるしくみを何というか。,二院制,慎重な審議を行い一つの議院の行き過ぎを抑えるため、多くの国で採用されているしくみである。,1,
社会,公民：国会・内閣・裁判所のしくみ,標準,国会が持つ、政治全般について調査を行い、証人の出頭・証言や記録の提出を要求できる権限を何というか。,国政調査権,衆議院・参議院それぞれが持つ権限で、政府の行政運営を監視する役割を果たしている。,2,
社会,公民：国会・内閣・裁判所のしくみ,応用,裁判官として不適切な行為があった裁判官を辞めさせるべきかどうかを、国会議員が審理するために設置される裁判所を何というか。,弾劾裁判所,衆議院・参議院それぞれから選ばれた議員によって組織され、裁判官の身分保障とのバランスをとる制度である。,3,
社会,公民：地方自治,基本,都道府県知事に立候補するために必要な被選挙権の年齢は満何歳以上か。,満30歳以上,市町村長や地方議会議員の被選挙権は満25歳以上だが、都道府県知事は満30歳以上と定められている。,1,
社会,公民：地方自治,標準,地方公共団体の首長や議員について、住民が一定数以上の署名を集めることで、任期途中でその職を失わせることを求める請求を何というか。,解職請求（リコール）,有権者の一定割合以上の署名を選挙管理委員会に提出し、住民投票で過半数の同意があれば職を失う。,2,
社会,公民：地方自治,応用,地方公共団体の仕事のうち、国から法令で処理を義務づけられた事務ではなく、地域の実情に応じて自主的に行う事務を何というか。,自治事務,これに対して、戸籍事務やパスポートの交付など国から委託される事務は法定受託事務と呼ばれる。,3,
社会,公民：経済のしくみ,基本,家計・企業とともに経済活動を行う主体で、税金などを財源に公共サービスを提供する主体を何というか。,政府,政府は家計や企業から税を集め、道路や教育などの公共サービスを提供する役割を担っている。,1,
社会,公民：経済のしくみ,標準,商品の欠陥によって消費者が被害を受けた場合、企業の過失を証明しなくても損害賠償を求めることができると定めた法律を何というか。,製造物責任法,PL法とも呼ばれ、消費者が被害の救済を受けやすくするために1994年に制定された。,2,
社会,公民：経済のしくみ,応用,生産者が卸売業者や小売業者を通さず消費者に直接販売するなど、商品が生産者から消費者に届くまでの経路や費用を見直す工夫を何というか。,流通の合理化,中間業者を減らしたり情報通信技術を活用したりすることで、流通コストを削減し価格を抑えることができる。,3,
社会,公民：財政と金融,標準,日本銀行が紙幣（日本銀行券）を発行できる日本で唯一の銀行であることから呼ばれる呼び名を何というか。,発券銀行,日本銀行は一般の銀行に資金を貸し出す「銀行の銀行」であるとともに、紙幣を発行する「発券銀行」としての役割を持つ。,2,
社会,公民：財政と金融,標準,景気が過熱しているときに、日本銀行が銀行に国債などの有価証券を売って市場の通貨量を減らそうとする公開市場操作を何というか。,売りオペレーション,銀行が保有する資金が減ることで企業への貸し出しが抑えられ、景気の過熱をおさえる効果がある。,2,
社会,公民：財政と金融,応用,消費税のように、所得が低い人ほど所得に対する税負担の割合が高くなる性質を何というか。,逆進性,所得に関係なく同じ税率がかかるため、低所得者ほど負担感が大きくなることが課題とされている。,3,
社会,公民：国際社会と平和,基本,国と国との間で文書によって結ばれる、法的な拘束力を持つ合意を何というか。,条約,国家間の権利義務関係を定めるもので、日本では締結に国会の承認が必要とされている。,1,
社会,公民：国際社会と平和,標準,国際連合の主要機関のうち、すべての加盟国で構成され、年1回定期的に開かれて世界のさまざまな問題を討議する機関を何というか。,総会,各加盟国が平等に1票を持ち、多数決によって決議が行われるが、法的拘束力はないとされる。,2,
