教科,単元,難易度,問題,解答,解説,ポイント,期限
理科,化学変化とイオン,標準,エタノールや砂糖のように、水に溶かしても水溶液に電流が流れない物質を何というか。,非電解質,水に溶けても電離せず、電流を通さない物質を非電解質という。,10,
理科,酸・アルカリと中和,基本,水溶液の酸性・アルカリ性の強さの度合いを表す数値を何というか。,pH,pHは7が中性であり、7より小さいほど酸性が強く、7より大きいほどアルカリ性が強い。,5,
理科,酸・アルカリと中和,標準,アルカリ性の水溶液に共通して含まれ、電離によって生じる－の電気を帯びたイオンは何か。,水酸化物イオン,アルカリは水に溶けると電離して水酸化物イオン（OH⁻）を生じ、これがアルカリ性のもとになる。,10,
理科,酸・アルカリと中和,応用,うすい硫酸にうすい水酸化バリウム水溶液を加えると、白色の沈殿が生じた。この沈殿の物質名を答えよ。,硫酸バリウム,硫酸イオンとバリウムイオンが結びつき、水に溶けにくい硫酸バリウムの白色沈殿ができる。,15,
理科,酸・アルカリと中和,応用,ある濃度の塩酸12cm³を中性にするのに、ある濃度の水酸化ナトリウム水溶液が9cm³必要だった。同じ濃度の塩酸36cm³を中性にするには、同じ濃度の水酸化ナトリウム水溶液は何cm³必要か。,27cm³,中和に必要な体積は比例するので、12:9=36:xよりx=27cm³となる。,15,
理科,遺伝の規則性,基本,エンドウの子葉の色には黄色と緑色があり、同時には現れない。このような対になる2つの形質を何というか。,対立形質,同一の形質について対をなす、同時には現れない2つの異なる形質を対立形質という。,5,
理科,遺伝の規則性,標準,生殖細胞がつくられるときに行われる、染色体の数がもとの細胞の半分になる特別な細胞分裂を何というか。,減数分裂,減数分裂によって生殖細胞の染色体数は体細胞の半分になり、受精によって元の数に戻る。,10,
理科,遺伝の規則性,応用,純系の黄色の子葉をもつ個体と純系の緑色の子葉をもつ個体を交配してできた子（F1）はすべて黄色になった。このF1を自家受粉させて得た孫（F2）が600個体できたとすると、緑色の個体は理論上何個体になるか。,150個体,F2では顕性:潜性=3:1の比になるため、600個体×1/4=150個体が緑色になる。,15,
理科,力と運動・力学的エネルギー,基本,物体が空気の抵抗を受けずに、重力だけを受けて真下に落下する運動を何というか。,自由落下運動,自由落下運動では物体には重力だけがはたらき、速さは一定の割合で増加する。,5,
理科,力と運動・力学的エネルギー,標準,1つの物体にはたらく2つの力が大きさが等しく、向きが反対であるとき、この2つの力がつり合うためにはさらにどのような条件が必要か。,同一直線上にはたらくこと,力のつり合いには、大きさが等しく、向きが反対で、さらに同一直線上にはたらくという条件が必要である。,10,
理科,力と運動・力学的エネルギー,標準,質量5kgの物体を高さ2mの位置まで持ち上げた。このときの物体がもつ位置エネルギーは何Jか。ただし100gの物体にはたらく重力の大きさを1Nとする。,100J,位置エネルギー=重さ×高さ=50N×2m=100Jとなる。,10,
理科,力と運動・力学的エネルギー,応用,質量4kgの物体が5m/sの速さで動いているとき、この物体がもつ運動エネルギーは何Jか。ただし、運動エネルギー[J]=1/2×質量[kg]×速さ[m/s]の2乗とする。,50J,運動エネルギー=1/2×4×5の2乗=1/2×4×25=50Jとなる。,15,
理科,仕事とエネルギー,基本,力学的な仕事の大きさは、力の大きさと物体が力の向きに動いた距離を使って、どのような式で求められるか。,仕事=力の大きさ×移動距離,仕事は加えた力の大きさと、力の向きに動かした距離の積で求められる。,5,
理科,仕事とエネルギー,標準,1秒間にする仕事の大きさを表す量を何というか。,仕事率,仕事率は仕事を時間で割った値であり、単位にはワット(W)を用いる。,10,
理科,仕事とエネルギー,応用,150Jの仕事を5秒間で行った。このときの仕事率は何Wか。,30W,仕事率[W]=仕事[J]÷時間[s]=150÷5=30Wとなる。,15,
理科,天体,標準,新月のときに太陽・月・地球がこの順に一直線に並び、太陽が月にかくされて見えなくなる現象を何というか。,日食,新月のときに太陽・月・地球が一直線に並ぶと、太陽が月にかくされる日食が起こる。,10,
理科,天体,応用,金星が明け方に東の空に見えるとき、この金星は何と呼ばれるか。,明けの明星,明け方に東の空に見える金星を明けの明星、夕方に西の空に見える金星を宵の明星という。,15,
理科,科学技術と環境,基本,生態系において、光合成によって無機物から有機物をつくり出す生物を何というか。,生産者,植物のように光合成によって自ら有機物をつくり出す生物を生産者という。,5,
社会,歴史,基本,1871年に明治政府が全国の藩を廃止し、府と県を置いて中央から役人を派遣して地方を治める仕組みに改めた改革を何というか。,廃藩置県,明治政府は中央集権国家をつくるため1871年に廃藩置県を実施し、政府が任命した府知事・県令が地方を統治するようになった。,5,
社会,歴史,基本,1889年、天皇が定めて国民に与えるという形で発布された、日本で最初の近代的な憲法を何というか。,大日本帝国憲法,大日本帝国憲法は伊藤博文らが中心となって作成され、天皇が主権を持つ立憲君主制の憲法として発布された。,5,
社会,歴史,標準,第一次世界大戦後、アメリカ大統領ウィルソンの提唱をきっかけに、世界平和の維持を目的として1920年に設立された史上初の世界的な国際組織を何というか。,国際連盟,国際連盟は第一次世界大戦の反省から設立されたが、アメリカが不参加であったことなどから十分な力を発揮できなかった。,10,
社会,歴史,応用,1951年に日本が48か国との間で結び、これにより独立と主権を回復した条約を何というか。,サンフランシスコ平和条約,この条約の締結と同時に日本はアメリカと日米安全保障条約も結び、翌1952年に条約が発効して独立を回復した。,15,
社会,公民：人権と日本国憲法,基本,日本国憲法第14条で保障されている、人はすべて法の下に平等であり、人種・性別・身分などによって差別されないとする権利を何というか。,平等権,平等権は自由権や社会権などと並ぶ基本的人権の一つで、差別のない社会を実現するための基礎となる権利である。,5,
社会,公民：人権と日本国憲法,標準,日本国憲法第9条に定められている、戦争を放棄し、戦力を持たず、交戦権を認めないとする原則を何というか。,平和主義,平和主義は国民主権・基本的人権の尊重とともに日本国憲法の三つの基本原理の一つであり、第9条にその内容が具体的に示されている。,10,
社会,公民：人権と日本国憲法,応用,日本国憲法の改正を国会が発議するためには、衆議院・参議院それぞれの総議員のどれだけの賛成が必要とされているか。,3分の2以上,憲法改正の発議には衆参各院の総議員の3分の2以上の賛成が必要であり、その後国民投票で過半数の賛成が得られれば改正が成立する。,15,
社会,公民：国会・内閣・裁判所のしくみ,基本,国会が国会議員の中から、国の行政の最高責任者を選ぶ権限を何というか。,内閣総理大臣の指名,内閣総理大臣の指名は国会の重要な権限の一つで、衆議院の議決が参議院より優先される事項の一つでもある。,5,
社会,公民：国会・内閣・裁判所のしくみ,標準,衆議院と参議院で法律案などの議決が異なった場合に、意見を一致させるために両院の代表者が開く会議を何というか。,両院協議会,両院協議会は衆参両院の意見が異なる場合に開かれ、予算の議決など一部の事項では必ず開くことが憲法で定められている。,10,
社会,公民：国会・内閣・裁判所のしくみ,応用,衆議院が解散されたのち、総選挙の日から30日以内に召集される国会を何というか。,特別会（特別国会）,特別会は衆議院解散後の総選挙のあとに召集される国会で、召集後まず内閣総理大臣の指名が行われる。,15,
社会,公民：地方自治,基本,地域の住民が自分たちの意思にもとづいて、地方の政治を自主的に行うという地方自治の原則を何というか。,住民自治,住民自治は地方自治の重要な原則の一つで、住民が選挙や請願などを通じて地域の政治に参加することを指す。,5,
社会,公民：地方自治,標準,地方公共団体において、首長と地方議会の議員をそれぞれ別に住民の選挙で選ぶ仕組みを何というか。,二元代表制,国の議院内閣制とは異なり、地方自治では首長と議員がともに住民の直接選挙で選ばれる二元代表制がとられている。,10,
社会,公民：地方自治,応用,国が持つ権限や財源をできるだけ地方公共団体に移し、地域の実情に応じた行政を地方が自主的に行えるようにする考え方を何というか。,地方分権,1999年の地方分権一括法などにより、国と地方の関係を見直し、地方分権を進める改革が行われてきた。,15,
社会,公民：経済のしくみ,基本,利潤を得ることを目的として、資本を用いて財やサービスの生産・販売を行う経済主体を何というか。,企業,企業は家計・政府とともに経済を支える三つの経済主体の一つで、生産活動の中心的な役割を担っている。,5,
社会,公民：経済のしくみ,標準,ある商品の市場において、一つの企業が生産や販売を支配し、競争相手が存在しない状態を何というか。,独占,独占の状態では企業間の競争が働かないため、価格が不当に高く維持されるなど消費者の不利益につながりやすい。,10,
社会,公民：経済のしくみ,応用,企業が利潤の追求だけでなく、消費者・従業員・地域社会などに対しても果たすべき責任を負うべきだという考え方を何というか。,企業の社会的責任（CSR）,企業の社会的責任（CSR）は、環境保護や地域貢献、情報公開などを通じて企業が社会の一員としての役割を果たすことを求める考え方である。,15,
社会,公民：財政と金融,標準,消費税のように、税金を納める義務のある人と実際にその税を負担する人が異なる税金を何というか。,間接税,間接税は商品やサービスの価格に上乗せされて課税され、事業者が納税者、消費者が負担者となる税の仕組みである。,10,
社会,公民：財政と金融,標準,企業が株式や債券を発行して、銀行を介さずに出資者から直接資金を集める方法を何というか。,直接金融,銀行からの借り入れなどを介する間接金融に対し、株式や債券の発行によって出資者から直接資金を集める方法を直接金融という。,10,
社会,公民：国際社会と平和,標準,国際連合が紛争地域の平和の維持や回復のために、停戦の監視や選挙の支援などの活動を行うことを何というか。,国連平和維持活動（PKO）,国連平和維持活動（PKO）は紛争後の地域に部隊や監視団を派遣し、停戦の監視や復興支援などを行う国際連合の活動である。,10,
社会,公民：国際社会と平和,応用,発展途上国で生産された農産物や製品を公正な価格で継続的に取引することで、生産者の生活の安定と自立を支える貿易の仕組みを何というか。,フェアトレード,フェアトレードは発展途上国の生産者から適正な価格で原料や製品を購入することで、生産者の生活向上と持続可能な発展を支える取り組みである。,15,
